iter	Passed	Remaining
0	50	9982
1	85	8430
2	126	8315
3	163	8013
4	198	7747
5	237	7686
6	272	7512
7	302	7261
8	333	7071
9	363	6897
10	394	6777
11	426	6674
12	453	6523
13	482	6412
14	511	6308
15	540	6217
16	568	6122
17	597	6039
18	625	5963
19	654	5893
20	683	5823
21	711	5753
22	739	5693
23	767	5631
24	797	5581
25	826	5532
26	855	5480
27	883	5427
28	912	5382
29	942	5338
30	970	5293
31	999	5245
32	1028	5203
33	1056	5158
34	1085	5117
35	1113	5074
36	1143	5038
37	1173	5002
38	1202	4964
39	1232	4930
40	1262	4894
41	1291	4857
42	1319	4817
43	1348	4780
44	1376	4742
45	1405	4704
46	1436	4677
47	1465	4641
48	1494	4604
49	1522	4566
50	1550	4531
51	1579	4495
52	1607	4458
53	1638	4429
54	1669	4401
55	1697	4365
56	1726	4331
57	1754	4295
58	1786	4269
59	1819	4245
60	1848	4212
61	1876	4176
62	1904	4142
63	1935	4112
64	1963	4078
65	1992	4044
66	2035	4041
67	2082	4042
68	2126	4037
69	2160	4012
70	2205	4006
71	2248	3997
72	2288	3982
73	2329	3965
74	2373	3955
75	2416	3943
76	2472	3950
77	2514	3932
78	2557	3917
79	2601	3901
80	2643	3883
81	2695	3878
82	2731	3851
83	2773	3830
84	2815	3809
85	2856	3786
86	2896	3762
87	2943	3746
88	2984	3721
89	3024	3696
90	3065	3672
91	3106	3646
92	3160	3636
93	3212	3622
94	3252	3595
95	3292	3566
96	3332	3538
97	3374	3511
98	3416	3485
99	3458	3458
100	3498	3429
101	3539	3400
102	3579	3370
103	3613	3335
104	3642	3295
105	3671	3255
106	3699	3215
107	3727	3175
108	3755	3135
109	3784	3096
110	3812	3056
111	3840	3017
112	3868	2978
113	3896	2939
114	3925	2901
115	3954	2863
116	3982	2825
117	4011	2787
118	4039	2749
119	4068	2712
120	4096	2674
121	4124	2637
122	4153	2600
123	4182	2563
124	4211	2526
125	4240	2490
126	4269	2453
127	4297	2417
128	4326	2381
129	4355	2345
130	4383	2308
131	4412	2273
132	4443	2238
133	4471	2202
134	4500	2166
135	4529	2131
136	4558	2096
137	4586	2060
138	4615	2025
139	4644	1990
140	4672	1955
141	4700	1920
142	4729	1885
143	4758	1850
144	4787	1815
145	4815	1780
146	4844	1746
147	4873	1712
148	4901	1677
149	4929	1643
150	4958	1609
151	4987	1575
152	5016	1540
153	5045	1507
154	5073	1473
155	5102	1439
156	5130	1405
157	5159	1371
158	5188	1337
159	5216	1304
160	5245	1270
161	5274	1237
162	5302	1203
163	5330	1170
164	5360	1137
165	5388	1103
166	5418	1070
167	5447	1037
168	5476	1004
169	5504	971
170	5532	938
171	5561	905
172	5590	872
173	5618	839
174	5647	806
175	5675	773
176	5703	741
177	5732	708
178	5761	675
179	5790	643
180	5819	610
181	5847	578
182	5876	545
183	5904	513
184	5932	481
185	5961	448
186	5990	416
187	6018	384
188	6047	351
189	6076	319
190	6104	287
191	6133	255
192	6162	223
193	6189	191
194	6218	159
195	6246	127
196	6274	95
197	6303	63
198	6330	31
199	6359	0
